source_station,AM Rush,Early Morning,Evening,Late Night,Midday,PM Rush,avg
Back Bay,0.03221228326043043,0.02023605020839316,0.0691822260273451,0.0736474901216012,0.03981686867817607,0.06120284685932273,0.049382960859211456
Maverick,0.05827462462546253,0.09356741960730923,0.029682534194954528,0.030015478659073957,0.04404053444835346,0.02979201025627632,0.04756210029857166
Airport,0.034421455761519656,0.053950815218127994,0.03718494930626452,0.05969412143031946,0.03522316167368603,0.025003991384000123,0.040913082462319623
Harvard,0.028602924865199466,0.015538330372192028,0.04824673974789477,0.04374458860127046,0.04563992405954499,0.04897654234095372,0.03845817499784257
South Station,0.029885170244752325,0.028479805044858295,0.03395816357661289,0.02903340368113863,0.02918239779952726,0.04074846298249723,0.0318812338882311
Central,0.03325591250786349,0.014771232097366183,0.03896375745201366,0.03318398517404747,0.035312107576611726,0.03391329853409049,0.03156671555699883
Copley,0.013371555755963778,0.007324673545209519,0.04768724647200438,0.038257238935818165,0.032878157053799754,0.04341035772273885,0.030488204914255745
Kendall/MIT,0.01297607932728838,0.005128669187938889,0.037436893227307505,0.023430281096339305,0.030513096780639033,0.055382457309346274,0.027477912821476564
Forest Hills,0.04275921142286566,0.04650336684347339,0.012775954504123502,0.012190215771156358,0.026186968482452676,0.016739051911629704,0.026192461489283544
Ruggles,0.016481005933098796,0.01731503233172936,0.0307470404434521,0.021598113241714637,0.026127042766184255,0.03324277496660612,0.024251834947130877
Malden Center,0.03934058287414171,0.04056237965053314,0.009715864225121567,0.00718988923513216,0.025023836815322942,0.012049135977066522,0.022313614796219673
Kenmore,0.009482105357925428,0.006089811773237364,0.02984364765767186,0.05059964398634395,0.015642316141724087,0.019362109823306002,0.021836605790034783
Chinatown,0.007846395865731501,0.00530614263398338,0.037881038842216865,0.03676302308099802,0.019696632859380062,0.021689287233591845,0.021530420085983614
Downtown Crossing,0.007665157358038857,0.005156709819211328,0.03396263526157351,0.024006749260753076,0.023344524070981212,0.034140057317891125,0.021379305514741518
Orient Heights,0.026890400116225607,0.04582315495185636,0.01069435642829316,0.01582342524626793,0.01865420171458522,0.01006997577046386,0.021325919037948688
Charles/MGH,0.012863295301915,0.004926884462942408,0.028649424635091437,0.024297881977304737,0.02097809297081393,0.03543718809794311,0.021192127907668435
Hynes Convention Center,0.008467539889807904,0.0037562063734125255,0.03606259282059843,0.030975999736841734,0.019519611775440975,0.02757796184005545,0.02105998540602617
Wonderland,0.029622912747712015,0.04765808220210514,0.008885544016796742,0.009302941993748036,0.018133146420346535,0.00944564457614207,0.02050804532614176
Aquarium,0.004126774336836914,0.0036672702885793096,0.02967876784269974,0.049418205827897625,0.013661907148806786,0.021477113235862058,0.020338339780113738
North Station,0.017492012422045185,0.010932913986147458,0.023853507265089283,0.03232524749644525,0.014404669698987318,0.018900608231307185,0.019651493183336945
Sullivan Square,0.02245518223727085,0.032030880037745915,0.013342939591917763,0.01494979636952068,0.018398255316352887,0.014900243637413981,0.019346216198370344
Tufts Medical Center,0.011214042945100908,0.00736156098769154,0.022664930041533617,0.024070803822643348,0.01838591279836989,0.023148674650955832,0.017807654207715854
JFK/UMass,0.019352672534567194,0.019259195183546074,0.015316152748203006,0.008450885050863671,0.023532073800841637,0.019547099404242048,0.017576346453710603
Wellington,0.029261877730526194,0.03163102555246933,0.00803104682287993,0.007375688137572583,0.015153847210018157,0.010503615614466173,0.016992850177988725
Alewife,0.03420158709898177,0.016694943603407602,0.008168018057649972,0.005375541852473079,0.0188142268372463,0.014930978664390263,0.016364216019024835
Broadway,0.01867966309211546,0.013557091403862416,0.01478083665936105,0.016095355099506835,0.014051252162003284,0.014823019490707988,0.01533120298459284
Park Street,0.005758415522577555,0.0033081294882316976,0.022328011964992626,0.01880852592207205,0.017048348361124975,0.02410566364107669,0.015226182483345932
Ashmont,0.021322381673015044,0.027851700641879373,0.00816540060828843,0.008391551958604953,0.015409980235979977,0.00893319018583978,0.01501236755060126
Beachmont,0.019631449720789024,0.03639536154648217,0.005960265153793652,0.008400510254940659,0.012347745975981993,0.006803795703061132,0.014923188059174773
Davis,0.025996149959443552,0.009964649295419046,0.013233788439517356,0.009846474997209018,0.01761969154131508,0.01212009511109294,0.0147968082239995
Andrew,0.018927955893537116,0.021120787881408306,0.009887598486295059,0.009782216724772424,0.01648550103163562,0.011305783967482778,0.014584973997521884
Boylston,0.005462192527980441,0.0023003843937272877,0.022651893028899646,0.024783109771968858,0.014569212838217457,0.017175400138265268,0.014490365449843159
Porter,0.024156269426173313,0.009112125117251627,0.013851600277575154,0.008584971036422091,0.016417341729405455,0.011303003806312243,0.013904218565523313
Jackson Square,0.018384576260972695,0.018804810736284965,0.007960771095844766,0.0070119385076497795,0.014809721590567548,0.009721441456333283,0.012782209941275506
Oak Grove,0.02751967759010808,0.024472731676502275,0.0040254115895410406,0.0034371196396758685,0.010618014936364674,0.006493623800899075,0.012761096538848502
Arlington,0.004624444625011672,0.0020733953366436192,0.01794154202164208,0.015963708254888676,0.01477687630302658,0.020729794022561147,0.012684960093962297
Roxbury Crossing,0.013295769906927895,0.008330354059403952,0.012051062647328298,0.010948632373974268,0.017239406187749075,0.012389777299593086,0.012375833745829429
Revere Beach,0.014803917634556369,0.028696520000118683,0.005818793663346855,0.006409060461336415,0.011874889782332101,0.0066338568064988794,0.012372839724698216
Government Center,0.003878844369328662,0.002485989737562758,0.015655590542655605,0.015553440296526036,0.013056537446454502,0.02196801517887783,0.012099736261900898
Haymarket,0.0084361105676451,0.01172341922191111,0.013523484704479042,0.013330226486627059,0.0120766811013225,0.013070024783529172,0.012026657810918995
Assembly,0.009166390636811364,0.004980576913648584,0.017142353696737684,0.011834978088897167,0.013028332553974774,0.01468735359772763,0.0118066642479662
North Quincy,0.018624648154404982,0.02023183119939189,0.005225183671978876,0.005219795171325433,0.011365345750583815,0.007110796336178729,0.011296266713977288
Quincy Center,0.017923445826132377,0.017642673788894538,0.006876977549541589,0.006864879008648808,0.011598171462839415,0.0065402288657121985,0.01124106275029482
Community College,0.00829240663820713,0.006448559652864821,0.010525323496387217,0.006723269352707951,0.01420150400052202,0.013138996906246064,0.009888343341155868
Fields Corner,0.013283015708091475,0.018515365830491435,0.0050405036295899305,0.004181016480962953,0.011928952720660383,0.00595602221652101,0.009817479431052864
Prudential,0.004477289005085593,0.002009662264194222,0.015202655274683766,0.012794563949264136,0.009801449927727352,0.01207461194176175,0.009393372060452803
Wood Island,0.009680427166173245,0.02055085515814354,0.004340262922389745,0.007714183365617037,0.007937914880397037,0.005644578580421928,0.009311370345523757
Braintree,0.010805932036042496,0.018586325995538194,0.003050566378022466,0.004549655300589894,0.006143401458783886,0.004366534004351118,0.007917069195554675
Stony Brook,0.013652714671423323,0.009056501589237424,0.004947316331094777,0.004208369504516764,0.008616493803215192,0.005869702754711083,0.007725183109033094
Wollaston,0.012673353615715052,0.0163562031225422,0.0022417527963983033,0.0041629919778617885,0.006562537330404001,0.002844474313867953,0.007473552192798216
Bowdoin,0.001842884279356286,0.0012850254195843883,0.008514580249700998,0.013090942089487249,0.0054443949246076205,0.010710014960620094,0.0068146403205594395
Green Street,0.01178709318765016,0.006979995303793724,0.004100393846943173,0.0038383756757079343,0.008510405006207561,0.005559230907073075,0.006795915654562604
Savin Hill,0.00867073263138473,0.008819265150357733,0.0026227388282767544,0.003093232397371023,0.005792579119047286,0.003491961442233281,0.005415084928111801
Quincy Adams,0.008404745735167024,0.010547959900811352,0.002175792408920302,0.001997384332715806,0.0047045592799531445,0.0032275799868548088,0.005176336940737073
Symphony,0.0031300410530226636,0.001903205041894989,0.006194846503083316,0.00805380016485775,0.0046811631492359295,0.00424146214129873,0.004700753008898897
Shawmut,0.007181001081946958,0.009291794221837815,0.0016510687840711742,0.002315634863220593,0.004618704707063383,0.0022999821822366857,0.004559697640062769
Suffolk Downs,0.004064786326308926,0.01162826612411124,0.001281324517275737,0.0031582801543171024,0.002398251858825222,0.0015113925966309752,0.0040070502629115335
Riverside,0.0040215643197539595,0.004547130910787608,0.0014291522198872418,0.0019182351920485885,0.003963093243489203,0.0029404149470160113,0.0031365984721637686
Gilman Square,0.0058509287390715375,0.0014562006399591644,0.0013226626637017891,0.001866951937012219,0.0029004068386966728,0.0015285235907266776,0.0024876124015280098
Lechmere,0.0023436110653279212,0.0010812486631218267,0.001572816436033445,0.0019817485296080776,0.0024866302918438374,0.002839148691703398,0.0020508672796064175
Medford/Tufts,0.003460800925215756,0.001474914891189261,0.0010910992894056445,0.0017955221515722347,0.0023793315925598095,0.0017191911313232415,0.0019868099968776576
Ball Square,0.0030352052043819138,0.0009214877926457584,0.0010639429760724863,0.0016566425388682045,0.0015842821356689897,0.0009002251301814492,0.0015269642963031337
Magoun Square,0.002775669273184595,0.0010580105892406383,0.0009363388498708686,0.001958117734876552,0.001530751463227587,0.0008563743326124006,0.0015192103738354403
East Somerville,0.001450731428686925,0.0007569333355614692,0.0009983245870621264,0.001953948464484321,0.0011566263787921103,0.0007732247072994135,0.0011816314836477276
Waban,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warren Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tappan Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington Square,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sutherland Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Paul Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Summit Avenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
State,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riverway,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Science Park/West End,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heath Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newton Highlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chiswick Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allston Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amory Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Babcock Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beaconsfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blandford Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston College,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston University Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston University East,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Hall,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brigham Circle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brookline Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brookline Village,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chestnut Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chestnut Hill Avenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland Circle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newton Centre,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coolidge Corner,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eliot,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Englewood Avenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fairbanks Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fenway,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fenwood Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Griggs Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvard Avenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawes Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent Street,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Longwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Longwood Medical Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
